#========================================================================================================																																										
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																		
#	GEAR_INDEX	DESCRIPTION																																								
#	1	:	Pot	fishery	retained	catch.																																				
#	1	:	Pot	fishery	with	discarded	catch.																																			
#	2	:	Trawl	bycatch																																						
#	3	:	Trawl	survey																																						
#	Fisheries:	1	Pot	Fishery,	2	Pot	Discard,	3	Trawl	by-catch,	4	Tanner bycatch 5 fixed gear																														
#	Surveys:	6	NMFS	Trawl	Survey,	7	BSFRF	Survey																																		
#========================================================================================================																																										
1975	# Start	year																																							
2018	# End	year																																							
7	# Number of seasons																																						
6	# Number of fleets (fishing fleets and surveys)																															
2	# Number of sexes																																						
2	# Number of shell condition types																																				
1	# Number of maturity types																																					
20	# Number of size-classes in the	model																																			
7	# Season recruitment occurs																																						
7	# Season molting and growth occurs																																				
6	# Season to calculate SSB																																					
1	# Season for N output																																					
# maximum size-class (males then females)
20 16
#	size_breaks (a	vector	giving	the	break	points	between	size	intervals,	dim=nclass+1)	
65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165																						
#	Natural	mortality	per	season	input	type	(1	=	vector	by	season,	2	=	matrix	by	season/year)																										
2
#	Proportion of the total	natural	mortality to be	applied	each	season	
0.0000  0.2329	0.0000	0.2671	0.000	0.194   0.306   #1975
0.0000  0.2795	0.0000	0.2205	0.000	0.194   0.306	#1976
0.0000  0.3233	0.0000  0.1767	0.000	0.194   0.306	#1977
0.0000  0.2548	0.0000  0.2452	0.000	0.194   0.306	#1978
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1979
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1980
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1981
0.0000  0.2356	0.0000	0.2644	0.000	0.194   0.306	#1982
0.0000  0.2400	0.0000  0.2600	0.000	0.194   0.306	#1983
0.0000  0.2712	0.0000	0.2288	0.000	0.194   0.306	#1984
0.0000  0.2438	0.0000	0.2562	0.000	0.194   0.306	#1985
0.0000  0.2521	0.0000	0.2479	0.000	0.194   0.306	#1986
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1987
0.0000  0.2438	0.0000	0.2562	0.000	0.194   0.306	#1988
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1989
0.0000  0.3507	0.0000	0.1493	0.000	0.194   0.306	#1990
0.0000  0.3425	0.0000	0.1575	0.000	0.194   0.306	#1991
0.0000  0.3425	0.0000	0.1575	0.000	0.194   0.306	#1992
0.0000  0.3452	0.0000	0.1548	0.000	0.194   0.306	#1993
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1994
0.0000  0.3400	0.0000	0.1600	0.000	0.194   0.306	#1995
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1996
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1997
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1998
0.0000  0.3000  0.0000  0.2000	0.000	0.194   0.306	#1999
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2000
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2001
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2002
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2003
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2004
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2005
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2006
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2007
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2008
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2009
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2010
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2011
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2012
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2013
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2014
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2015
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2016
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2017
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2018

# Fishing fleet	names (delimited with: no spaces in names)																																
Pot_Fishery Trawl_Bycatch Bairdi_Fishery_Bycatch Fixed_Gear																																										
# Survey names (delimited with: no spaces in names)
NMFS_Trawl BSFRF
# Are the seasons instantaneous (0) or continuous (1)
1 1 1 1 1 1 1
#1 1 1 1 1 1 1
# Number of catch data frames																																					
7																																										
# Number of rows in each data frame
44	29	29	43	25	25      23
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	CATCH	DATA																																								
##	Type of	catch: 1 = retained, 2	= discard, 0 =	total																													
##	Units of catch:	1 = biomass, 2 = numbers																																	
##	for BBRKC Units	are in 1000 mt	for landed & discards.																															
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	Male	retained	pot	fishery	(tonnes)												
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality
1	1996	1	5	1	0	26815.7	0.203	1
1	1997	1	5	1	0	59638.3	0.264	1
1	1998	1	5	1	0	46208.6	0.182	1
1	1999	1	5	1	0	44528.7	0.204	1
1	2000	1	5	1	0	38390.7	0.216	1
1	2001	1	5	1	0	27942.7	0.187	1
1	2002	1	5	1	0	45139.9	0.202	1
1	2003	1	5	1	0	74641	0.283	1
1	2004	1	5	1	0	90354.3	0.321	1
1	2005	1	5	1	0	54789.5	0.171	1
1	2006	1	5	1	0	51215.2	0.169	1
1	2007	1	5	1	0	58144.3	0.174	1
1	2008	1	5	1	0	67214.4	0.249	1
1	2009	1	5	1	0	43170.4	0.326	1
1	2010	1	5	1	0	39020.6	0.223	1
1	2011	1	5	1	0	27385.1	0.213	1
1	2012	1	5	1	0	30655.4	0.237	1
1	2013	1	5	1	0	39650.2	0.244	1
1	2014	1	5	1	0	60649.4	0.191	1
1	2015	1	5	1	0	37085.3	0.208	1
1	2016	1	5	1	0	27184.9	0.194	1
1	2017	1	5	1	0	25335.3	0.173	1
1	2018	1	5	1	0	16034.2	0.161	1
1	2019	1	5	1	0	15169.9	0.157	1
1	1975	1	5	2	0	66558.7	0.193	1
1	1976	1	5	2	0	71252.4	0.207	1
1	1977	1	5	2	0	138684.3	0.144	1
1	1978	1	5	2	0	143646.6	0.152	1
1	1979	1	5	2	0	63000.5	0.164	1
1	1980	1	5	2	0	80701.3	0.221	1
1	1981	1	5	2	0	62850.4	0.19	1
1	1982	1	5	2	0	69601.4	0.251	1
1	1983	1	5	2	0	13713.6	0.214	1
1	1984	1	5	2	0	56188.5	0.606	1
1	1985	1	5	2	0	7318.7	0.159	1
1	1986	1	5	2	0	6884.6	0.42	1
1	1987	1	5	2	0	22475.5	0.209	1
1	1988	1	5	2	0	19223.7	0.228	1
1	1989	1	5	2	0	12778	0.232	1
1	1990	1	5	2	0	20722.8	0.242	1
1	1991	1	5	2	0	17363.5	0.443	1
1	1992	1	5	2	0	12238.2	0.176	1
1	1993	1	5	2	0	17235.1	0.198	1
1	1994	1	5	2	0	9101.7	0.174	1
1	1995	1	5	2	0	10816.3	0.266	1
1	1996	1	5	2	0	17143.2	0.203	1
1	1997	1	5	2	0	24392.1	0.264	1
1	1998	1	5	2	0	37892.7	0.182	1
1	1999	1	5	2	0	20225.3	0.204	1
1	2000	1	5	2	0	28990.5	0.216	1
1	2001	1	5	2	0	24512.6	0.187	1
1	2002	1	5	2	0	23946.5	0.202	1
1	2003	1	5	2	0	41118.5	0.283	1
1	2004	1	5	2	0	40201.7	0.321	1
1	2005	1	5	2	0	50937.4	0.171	1
1	2006	1	5	2	0	43262.1	0.169	1
1	2007	1	5	2	0	45183	0.174	1
1	2008	1	5	2	0	45867.2	0.249	1
1	2009	1	5	2	0	47376.6	0.326	1
1	2010	1	5	2	0	41480.2	0.223	1
1	2011	1	5	2	0	39023	0.213	1
1	2012	1	5	2	0	30042	0.237	1
1	2013	1	5	2	0	22566.7	0.244	1
1	2014	1	5	2	0	52485.7	0.191	1
1	2015	1	5	2	0	27089.5	0.208	1
1	2016	1	5	2	0	33773.1	0.194	1
1	2017	1	5	2	0	27599.3	0.173	1
1	2018	1	5	2	0	12770.5	0.161	1
1	2019	1	5	2	0	13368.6	0.157	1
	#	BSFRF						
2	2007	1	6	1	0	79542	0.116	1
2	2008	1	6	1	0	67569	0.094	1
2	2013	1	6	1	0	68384	0.209	1
2	2014	1	6	1	0	62327	0.192	1
2	2015	1	6	1	0	63709	0.161	1
2	2016	1	6	1	0	34417	0.22	1
2	2007	1	6	2	0	50811	0.116	1
2	2008	1	6	2	0	38472	0.094	1
2	2013	1	6	2	0	26633	0.209	1
2	2014	1	6	2	0	49414	0.192	1
2	2015	1	6	2	0	35244	0.161	1
2	2016	1	6	2	0	43399	0.22	1

## Number of length frequency matrices																																					
13																																										
## Number of rows in each matrix																																				
41	27	27	42	42	6	6	23	23	45	45	6	6
##	Number	of	bins	in	each	matrix	(columns	of	size	data)																																
20	20	16	20	16	20	16	20	16	20	16	20	16																														
##	SIZE COMPOSITION DATA FOR ALL FLEETS
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	SIZE	COMP	LEGEND																																							
##	Sex: 1	= male,	2 = female, 0	= both sexes combined																														
##	Type of	composition: 1	= retained, 2 =	discard, 0 = total composition																													
##	Maturity	state:	1	=	immature,	2	=	mature,	0	=	both	states	combined																													
##	Shell	condition:	1	=	new	shell,	2	=	old	shell,	0	=	both	shell	types	combined																										
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
#Retained	males																																									
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec	
1975	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0071	0.0741	0.1721	0.2239	0.2122	0.1464	0.0858	0.0785
1976	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0.029	0.1418	0.2316	0.2199	0.1635	0.1071	0.1055
1977	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0.0192	0.1382	0.2442	0.2226	0.1605	0.104	0.1096
1978	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0.0209	0.1441	0.2588	0.2401	0.1673	0.0966	0.0711
1979	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0.0119	0.0747	0.1649	0.1998	0.2004	0.1556	0.1914
1980	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0.0138	0.0919	0.1771	0.195	0.1792	0.1404	0.2019
1981	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0.0225	0.1164	0.1743	0.1711	0.1584	0.1284	0.2283
1982	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0544	0.2576	0.2802	0.1667	0.0837	0.0508	0.1067
1984	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0003	0.0023	0.0654	0.311	0.3135	0.1763	0.0846	0.0321	0.0145
1985	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0005	0.0044	0.079	0.2869	0.3098	0.1898	0.086	0.0306	0.0129
1986	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0.0531	0.2613	0.3289	0.2084	0.0978	0.0352	0.0137
1987	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0.0284	0.1895	0.3045	0.2522	0.1421	0.0565	0.0255
1988	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0.1294	0.2646	0.2471	0.1876	0.1033	0.0477
1989	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0.0187	0.1211	0.2209	0.219	0.1908	0.1197	0.1094
1990	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0.0146	0.0887	0.1801	0.1707	0.1728	0.1431	0.2297
1991	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0001	0.0005	0.0141	0.0848	0.1651	0.179	0.1739	0.1432	0.2392
1992	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.0003	0.0002	0.0005	0.0095	0.0638	0.1317	0.1673	0.1747	0.1636	0.2886
1993	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0.0138	0.094	0.1789	0.1739	0.1596	0.1331	0.2453
1996	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0006	0.0006	0.0129	0.0779	0.1407	0.162	0.1771	0.1671	0.2612
1997	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0004	0.0003	0.0138	0.0899	0.1486	0.1603	0.1699	0.1588	0.258
1998	3	1	1	1	0	0	100	0	0	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0004	0.0002	0.0008	0.0225	0.1187	0.1596	0.149	0.1432	0.1394	0.266
1999	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0.0147	0.1313	0.2575	0.2292	0.1624	0.0961	0.1087
2000	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0.0001	0.0001	0	0.0001	0.0003	0.0111	0.0931	0.1945	0.2111	0.1822	0.1247	0.1826
2001	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0.0001	0.0001	0.0001	0.0002	0.0002	0.0012	0.0181	0.0836	0.1681	0.1986	0.1953	0.1506	0.1838
2002	3	1	1	1	0	0	100	0	0	0	0	0	0	0.0001	0	0.0001	0.0001	0.0001	0	0.0002	0.0151	0.108	0.1884	0.1915	0.1683	0.1334	0.1948
2003	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0.0001	0.0001	0.0002	0.0009	0.0243	0.1464	0.232	0.1871	0.1497	0.0994	0.1597
2004	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0.0064	0.0514	0.1302	0.1702	0.1971	0.1632	0.2812
2005	3	1	1	1	0	0	100	0	0	0	0	0	0	0.0001	0	0	0	0.0001	0.0001	0.0008	0.015	0.0859	0.1543	0.1661	0.1783	0.1516	0.2475
2006	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.0001	0.0001	0.0004	0.0102	0.0739	0.1905	0.2203	0.1887	0.137	0.1787
2007	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0002	0.0003	0.0067	0.0871	0.1833	0.1934	0.1846	0.1472	0.1973
2008	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0001	0.0002	0.01	0.0746	0.1457	0.1619	0.179	0.1625	0.2659
2009	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0.0108	0.1152	0.2215	0.1968	0.1588	0.1084	0.1882
2010	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0.0091	0.0986	0.2244	0.2238	0.1861	0.1144	0.1433
2011	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.0003	0.0001	0.0003	0.0114	0.118	0.2436	0.2292	0.1725	0.1077	0.1169
2012	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	0.0044	0.0499	0.1249	0.173	0.1886	0.1654	0.2937
2013	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0.0001	0.0001	0	0	0.0001	0.0001	0.0054	0.0525	0.1271	0.1484	0.1657	0.1632	0.3374
2014	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0.0117	0.0964	0.1831	0.1696	0.1454	0.1246	0.2689
2015	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0.0001	0.0003	0.0067	0.0616	0.1473	0.1864	0.1947	0.1634	0.2397
2016	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0.0062	0.0489	0.127	0.166	0.1822	0.1689	0.3006
2017	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0.0001	0.0001	0	0	0	0.0044	0.0453	0.1055	0.1441	0.1781	0.1664	0.356
2018	3	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0.0052	0.0593	0.1370	0.1406	0.1386	0.1239	0.3951

#Total	males																															
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec	
1990	3	1	1	0	0	0	100	0	0	0.0004	0.0028	0.0016	0.0043	0.0024	0.013	0.0173	0.0263	0.0421	0.0523	0.0641	0.0943	0.1018	0.1108	0.1156	0.0924	0.0971	0.1616
1991	3	1	1	0	0	0	100	0.0009	0.0038	0.0075	0.0081	0.0092	0.0149	0.0124	0.0241	0.0236	0.0262	0.0243	0.0428	0.0605	0.0884	0.1014	0.1069	0.1152	0.1161	0.085	0.129
1992	3	1	1	0	0	0	100	0	0.0006	0.0008	0.0075	0.0151	0.0375	0.0591	0.0777	0.0806	0.0838	0.0806	0.0852	0.0756	0.0603	0.0477	0.0503	0.0538	0.0578	0.0448	0.081
1993	3	1	1	0	0	0	100	0.0008	0.0024	0.0031	0.003	0.004	0.0073	0.0176	0.0325	0.0455	0.062	0.0745	0.0854	0.0832	0.0991	0.0909	0.0898	0.0749	0.0725	0.0567	0.0946
1996	3	1	1	0	0	0	100	0	0	0	0.0047	0.0187	0.0296	0.0265	0.0109	0.0171	0.0249	0.0218	0.0358	0.053	0.0872	0.0981	0.0888	0.1277	0.1246	0.0903	0.1402
1997	3	1	1	0	0	0	100	0	0.0001	0.0002	0.0003	0.0006	0.0081	0.0227	0.0446	0.0519	0.0534	0.0422	0.041	0.0522	0.0701	0.0832	0.0938	0.0967	0.1035	0.0886	0.1467
1998	3	1	1	0	0	0	100	0.0001	0.0002	0.0004	0.0021	0.0037	0.0054	0.0056	0.0104	0.0246	0.0588	0.0946	0.1362	0.1335	0.1122	0.0476	0.0117	0.0386	0.0565	0.0525	0.2052
1999	3	1	1	0	0	0	100	0	0	0	0.0013	0.0013	0.0006	0.0017	0.0013	0.0025	0.006	0.0138	0.0264	0.0537	0.0923	0.1302	0.1444	0.1518	0.1301	0.091	0.1515
2000	3	1	1	0	0	0	100	0.0002	0.002	0.0071	0.0185	0.0234	0.0242	0.0256	0.0262	0.0254	0.0291	0.0349	0.0507	0.0718	0.0843	0.1001	0.1083	0.1114	0.0943	0.0638	0.0988
2001	3	1	1	0	0	0	100	0.0004	0.0023	0.0037	0.005	0.0066	0.0139	0.0249	0.0381	0.0447	0.0539	0.0605	0.0696	0.0659	0.0647	0.0652	0.0843	0.0982	0.1023	0.0824	0.1133
2002	3	1	1	0	0	0	100	0.0017	0.0046	0.0044	0.0051	0.0043	0.0054	0.0066	0.0151	0.0272	0.0504	0.0684	0.0822	0.083	0.0901	0.0939	0.0985	0.0913	0.0881	0.0689	0.1108
2003	3	1	1	0	0	0	100	0.0034	0.0053	0.0065	0.0144	0.0257	0.0323	0.0355	0.0335	0.0315	0.0322	0.036	0.0526	0.0756	0.1021	0.1115	0.108	0.0867	0.0715	0.0494	0.0863
2004	3	1	1	0	0	0	100	0.0001	0.0019	0.0061	0.016	0.021	0.0231	0.0316	0.0519	0.0613	0.0616	0.0486	0.0411	0.035	0.0389	0.0474	0.0731	0.0927	0.1087	0.0917	0.1482
2005	3	1	1	0	0	0	100	0.0001	0.0005	0.0008	0.0017	0.0044	0.0128	0.0199	0.0243	0.0264	0.0383	0.0556	0.0801	0.0806	0.0849	0.0723	0.0769	0.0794	0.0949	0.0818	0.1643
2006	3	1	1	0	0	0	100	0.0001	0.0006	0.0019	0.0065	0.014	0.0171	0.0166	0.0154	0.02	0.0334	0.0412	0.0506	0.0611	0.0815	0.098	0.1153	0.1191	0.113	0.0806	0.1138
2007	3	1	1	0	0	0	100	0.0006	0.0021	0.0034	0.0051	0.0089	0.0191	0.0341	0.044	0.0477	0.044	0.0423	0.0513	0.0676	0.0899	0.0952	0.0974	0.0929	0.0907	0.0691	0.0946
2008	3	1	1	0	0	0	100	0.0001	0.0002	0.0007	0.0025	0.0059	0.0078	0.0088	0.0118	0.0242	0.0444	0.0697	0.0985	0.1095	0.1038	0.0868	0.0768	0.0766	0.0772	0.0703	0.1244
2009	3	1	1	0	0	0	100	0.0002	0.0005	0.0009	0.0016	0.0021	0.0038	0.0093	0.0213	0.033	0.0371	0.0428	0.0638	0.0978	0.1348	0.1354	0.1172	0.0895	0.0659	0.0499	0.0931
2010	3	1	1	0	0	0	100	0.0004	0.0006	0.0013	0.0028	0.0044	0.0061	0.0077	0.0113	0.0179	0.0286	0.0504	0.0807	0.107	0.1302	0.1264	0.121	0.1031	0.0821	0.0512	0.067
2011	3	1	1	0	0	0	100	0.0008	0.0031	0.0055	0.0096	0.0099	0.0089	0.0128	0.0147	0.0192	0.0264	0.0358	0.0564	0.0822	0.1114	0.1321	0.1357	0.1212	0.0926	0.0583	0.0633
2012	3	1	1	0	0	0	100	0.0002	0.0003	0.0008	0.0014	0.0037	0.0088	0.014	0.0188	0.0178	0.0192	0.0236	0.0359	0.0519	0.0746	0.0861	0.099	0.112	0.1276	0.1127	0.1915
2013	3	1	1	0	0	0	100	0.0001	0.0007	0.0017	0.0022	0.0047	0.0059	0.0097	0.0152	0.0261	0.0381	0.0546	0.0609	0.0673	0.0742	0.0761	0.0826	0.0842	0.1033	0.0981	0.1944
2014	3	1	1	0	0	0	100	0.0003	0.0006	0.0008	0.0012	0.0017	0.0038	0.0063	0.0111	0.0155	0.0206	0.0345	0.0474	0.0701	0.0902	0.1051	0.108	0.1051	0.0972	0.0846	0.196
2015	3	1	1	0	0	0	100	0.0001	0.0002	0.0008	0.0017	0.0038	0.0059	0.0063	0.007	0.012	0.0272	0.0337	0.0492	0.0541	0.0675	0.0799	0.107	0.117	0.137	0.1056	0.1841
2016	3	1	1	0	0	0	100	0.0001	0.0002	0.0015	0.0034	0.0046	0.0064	0.0111	0.0188	0.0225	0.028	0.0295	0.04	0.0509	0.0675	0.0814	0.0938	0.1068	0.1214	0.1118	0.2005
2017	3	1	1	0	0	0	100	0.0003	0.0006	0.0034	0.012	0.0258	0.0362	0.0313	0.0248	0.0207	0.0259	0.0306	0.047	0.0505	0.0641	0.0671	0.0809	0.097	0.1032	0.0949	0.1839
2018	3	1	1	0	0	0	100	0.0004	0.0017	0.0065	0.0074	0.0060	0.0100	0.0217	0.0402	0.0630	0.0704	0.0659	0.0551	0.0560	0.0565	0.0621	0.0649	0.0632	0.0669	0.0698	0.2124

#Total	females																																
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec
1990	3	1	2	0	0	0	50	0	0.0014	0.0029	0.0029	0.0057	0.0072	0.0143	0.0672	0.1016	0.1731	0.1688	0.2132	0.1359	0.0715	0.0243	0.01
1991	3	1	2	0	0	0	37.5	0.0027	0.024	0.0613	0.096	0.1333	0.16	0.1227	0.072	0.0693	0.056	0.0693	0.08	0.0347	0.0107	0.0053	0.0027
1992	3	1	2	0	0	0	50	0	0.0013	0.0029	0.0177	0.0803	0.1765	0.195	0.1698	0.0958	0.0815	0.0572	0.0404	0.0395	0.0256	0.0118	0.0046
1993	3	1	2	0	0	0	50	0.0013	0.0023	0.0047	0.006	0.0137	0.033	0.1017	0.1606	0.1446	0.1136	0.09	0.0849	0.0829	0.0735	0.043	0.0442
1996	3	1	2	0	0	0	1.1	0	0	0	0.0909	0.6364	0.2727	0	0	0	0	0	0	0	0	0	0
1997	3	1	2	0	0	0	50	0	0	0.0011	0.0011	0.0099	0.0265	0.0364	0.0464	0.0695	0.1391	0.1667	0.1435	0.117	0.1082	0.0607	0.074
1998	3	1	2	0	0	0	50	0.0002	0.0004	0.0009	0.0024	0.0062	0.0165	0.0519	0.168	0.2191	0.1527	0.0862	0.0853	0.0578	0.0533	0.0362	0.0628
1999	3	1	2	0	0	0	3.6	0	0	0	0.025	0.025	0.025	0.05	0.025	0	0.125	0.125	0.075	0.1	0.125	0.075	0.225
2000	3	1	2	0	0	0	50	0	0.0044	0.0256	0.0607	0.0744	0.0816	0.0701	0.0543	0.055	0.0998	0.1541	0.146	0.0799	0.042	0.0224	0.0296
2001	3	1	2	0	0	0	50	0.0007	0.0042	0.0129	0.0307	0.0568	0.0844	0.0986	0.0909	0.0646	0.0568	0.0883	0.1407	0.14	0.0638	0.0269	0.0396
2002	3	1	2	0	0	0	30.2	0.0595	0.1714	0.1601	0.1388	0.1091	0.0581	0.0297	0.0326	0.0382	0.0326	0.0241	0.0241	0.0198	0.0269	0.0283	0.0467
2003	3	1	2	0	0	0	50	0.012	0.0164	0.0231	0.0635	0.102	0.1075	0.0682	0.043	0.06	0.0866	0.0984	0.0675	0.054	0.0596	0.0572	0.0811
2004	3	1	2	0	0	0	50	0.0003	0.0056	0.0258	0.0575	0.0774	0.0918	0.1413	0.1308	0.0876	0.0449	0.0503	0.0611	0.0531	0.0446	0.0431	0.0851
2005	3	1	2	0	0	0	50	0.0004	0.0013	0.0022	0.005	0.0146	0.05	0.0788	0.0931	0.1233	0.1212	0.0871	0.1021	0.0958	0.0885	0.0519	0.0848
2006	3	1	2	0	0	0	50	0.0003	0.004	0.0256	0.1183	0.1939	0.1616	0.0692	0.0519	0.0672	0.0704	0.0576	0.0403	0.0358	0.0323	0.0256	0.0461
2007	3	1	2	0	0	0	50	0.0029	0.0124	0.0214	0.0235	0.0461	0.0886	0.1116	0.0832	0.0556	0.0739	0.1005	0.1146	0.0942	0.0671	0.0437	0.0604
2008	3	1	2	0	0	0	50	0.0004	0.0018	0.0097	0.0362	0.0775	0.0662	0.0472	0.0772	0.1071	0.0871	0.0954	0.126	0.1254	0.067	0.0391	0.0368
2009	3	1	2	0	0	0	50	0.0036	0.0083	0.0099	0.0144	0.0164	0.0282	0.0652	0.0867	0.0803	0.0912	0.0857	0.09	0.1141	0.1308	0.0875	0.0877
2010	3	1	2	0	0	0	50	0.0036	0.0051	0.0052	0.0199	0.0276	0.0292	0.0269	0.0444	0.0882	0.1135	0.1315	0.1423	0.1011	0.0917	0.0879	0.0816
2011	3	1	2	0	0	0	50	0.013	0.037	0.0604	0.101	0.076	0.0698	0.0583	0.0411	0.0266	0.0359	0.0693	0.0911	0.0823	0.0667	0.0672	0.1042
2012	3	1	2	0	0	0	50	0.0089	0.0107	0.0124	0.0337	0.0604	0.1155	0.0941	0.0391	0.0178	0.0124	0.0409	0.0426	0.1652	0.151	0.1101	0.0853
2013	3	1	2	0	0	0	50	0.0005	0.0017	0.0083	0.0109	0.0187	0.037	0.0716	0.1327	0.1428	0.0967	0.0716	0.0637	0.0851	0.0904	0.0731	0.0952
2014	3	1	2	0	0	0	50	0.0011	0.0053	0.0068	0.0086	0.0086	0.021	0.0282	0.0274	0.0526	0.0713	0.0755	0.0762	0.0965	0.1142	0.1303	0.2764
2015	3	1	2	0	0	0	50	0	0.0011	0.0018	0.0051	0.012	0.0164	0.0197	0.0354	0.0556	0.0869	0.0889	0.1404	0.1126	0.1031	0.0833	0.2377
2016	3	1	2	0	0	0	50	0	0.0003	0.0073	0.0122	0.0187	0.0181	0.0213	0.0312	0.0377	0.0617	0.0994	0.1535	0.1739	0.1341	0.0712	0.1594
